MIN,Item Name,Department
113685801,"Market Street Half & Half 14"" Pepperoni X Meatball Marinara Pizza",Pizza Fresh Prep
113687179,"Market Street 10"" Meatball Marinara Pizza",Pizza Fresh Prep
102798391,Market Street British Pork Ribs 0.5Kg,Pork
102798480,British Boneless Leg Of Pork 3.5Kg,Pork
102798498,Market Street British Pork Leg Steak 0.5Kg,Pork
102798535,British Boneless Shoulder Of Pork 1.75Kg,Pork
102798560,Market Street British Pork Loin/ Boneless Joint 0.8Kg,Pork
102798586,British Pork Loin Steaks 0.4Kg,Pork
102798615,Market Street British Pork Fillet 400G,Pork
102798623,Market Street British Pork Belly Slices 625G,Pork
102798631,Market Street British Boneless Pork Belly Joint 725G,Pork
109529266,Gressingham Duck Fat 250G,Speciality Poultry
112487247,Royal Mail 8 X 1St Class Stamp Book,Stamps
112487360,Royal Mail 8 X 2Nd Class Stamp Book,Stamps
112487423,Royal Mail 4 X 1St Class Large Letter Stamp Book,Stamps
112487474,Royal Mail 4 X 2Nd Class Large Letter Stamp Book,Stamps
101525851,Rizla Green Multipack,Tobacco Products (Splits)
101526677,Rizla Silver Papers,Tobacco Products (Splits)
101528605,Swan Extra Slim Filter Tip 120,Tobacco Products (Splits)
101531601,St Bruno Ready Rubbed 50Gm,Tobacco Products (Splits)
101534811,Swan Slimline Filter Tips 102,Tobacco Products (Splits)
101541551,Swan Menthol Ex Slim Tips 120,Tobacco Products (Splits)
101545561,Cricket Lighters 3 Pack (Cr),Tobacco Products (Splits)
101545616,Rizla Liquorice Papers,Tobacco Products (Splits)
101546942,Poppell Elec. Lighter (Cr),Tobacco Products (Splits)
101550351,St Bruno Flake Tobacco 50Gm,Tobacco Products (Splits)
101554328,Erinmore Mixture           50G,Tobacco Products (Splits)
101554459,Poppell Flint Lighter (Cr),Tobacco Products (Splits)
101558927,Rizla Ks Slim Blue 32'S,Tobacco Products (Splits)
101560752,Swan Gas Refill 200Ml (R),Tobacco Products (Splits)
101560883,Rizla K/S Slim Silver Papers,Tobacco Products (Splits)
101563419,Rizla Green Papers,Tobacco Products (Splits)
101568421,Rizla Blue Papers,Tobacco Products (Splits)
101577749,Swan Slimline Filter Tip 165,Tobacco Products (Splits)
102334141,Jps Myo Tubes,Tobacco Products (Splits)
104747871,Zig Zag Green 8Pk Papers,Tobacco Products (Splits)
106012624,Swan Ultra Slim Filter 126S,Tobacco Products (Splits)
108543357,Royal Dutch Miniature 10Pk,Tobacco Products (Splits)
108543429,Royal Dutch Miniature 20Pk,Tobacco Products (Splits)
108543592,Royal Dutch Miniature Blue Cigars 20Pk,Tobacco Products (Splits)
108543621,Royal Dutch Elite Slim Pan Cigars 5Pk,Tobacco Products (Splits)
108543656,Royal Dutch Double Filter 10S,Tobacco Products (Splits)
108568546,Signature Original 50S,Tobacco Products (Splits)
108568618,Signature Original 10S,Tobacco Products (Splits)
108568693,Signature Blue 10S,Tobacco Products (Splits)
108568731,Signature Blue 50S,Tobacco Products (Splits)
108568950,Henri Wintermans Slims 5S,Tobacco Products (Splits)
108568984,Henri Wintermans Half Corona 5S,Tobacco Products (Splits)
108569055,Moments Miniatures Blue 10S,Tobacco Products (Splits)
108569101,Clan Original 50G,Tobacco Products (Splits)
108579595,Embassy Filter 20Pk,Tobacco Products (Splits)
108579721,Embassy Signature Gold 20Pk,Tobacco Products (Splits)
108618558,Villiger Export Pressed Cigars 5Pk,Tobacco Products (Splits)
108665784,Carlton Original 20 Pack,Tobacco Products (Splits)
108666091,Carlton Original Superkings 20 Pack,Tobacco Products (Splits)
108666226,Carlton Superkings Bright Blue 20Pk,Tobacco Products (Splits)
108666322,Castella Classic Fine Cigars 10Pk,Tobacco Products (Splits)
108666365,Castella Classic Fine Cigars 5 X 5 Multipack,Tobacco Products (Splits)
108666390,Castella Classic Fine Cigars 5Pk,Tobacco Products (Splits)
108666496,Gold Leaf Virginia Blend 50G Includes Cigarette Papers,Tobacco Products (Splits)
108666517,John Player Special Legendary Black 20Pk,Tobacco Products (Splits)
108666576,John Player Special Real Blue 20Pk,Tobacco Products (Splits)
108666736,John Player Special Superkings Real Blue 20Pk,Tobacco Products (Splits)
108666904,King Edward Coronets Premium Blend 5Pk,Tobacco Products (Splits)
108666939,L&B Blue Real Blue 20Pk,Tobacco Products (Splits)
108666998,L&B Blue Bright Air Filter 20 Pack,Tobacco Products (Splits)
108667042,L&B Blue Superkings Real Blue 20Pk,Tobacco Products (Splits)
108667173,L&B Blue Superkings Bright Blue 20Pk,Tobacco Products (Splits)
108667350,Lambert & Butler Bright Gold 20Pk,Tobacco Products (Splits)
108667405,Lambert & Butler Original Silver 20Pk,Tobacco Products (Splits)
108667544,Panama Thin Panatellas 6Pk,Tobacco Products (Splits)
108667595,Players Real Red 20Pk,Tobacco Products (Splits)
108667982,Players Bright Blue 20Pk,Tobacco Products (Splits)
108668037,Players Real Red 50G Can,Tobacco Products (Splits)
108668088,Players Superkings Real Red 20Pk,Tobacco Products (Splits)
108668133,Players Superkings Bright Blue 20Pk,Tobacco Products (Splits)
108668205,Regal Blue 20Pk,Tobacco Products (Splits)
108668272,Richmond Original 20 Pack,Tobacco Products (Splits)
108668301,Richmond Real Blue 5 X 20 Multipack,Tobacco Products (Splits)
108668758,Richmond Superkings Real Blue 20Pk,Tobacco Products (Splits)
108668774,Richmond Superkings Bright Blue 20Pk,Tobacco Products (Splits)
108668862,Windsor Blue Real Blue 20Pk,Tobacco Products (Splits)
108668977,Windsor Blue Superkings Real Blue 20Pk,Tobacco Products (Splits)
108669195,Drum The Original Blue 30G,Tobacco Products (Splits)
108669224,Drum The Original Blue 50G,Tobacco Products (Splits)
108669267,Drum Gold 30G,Tobacco Products (Splits)
108669355,Gold Leaf Virginia Blend 30G Includes Cigarette Papers,Tobacco Products (Splits)
108669443,Golden Virginia The Original 30G Includes Cigarette Papers,Tobacco Products (Splits)
